input_file,algorithm,cost,execution_time
Entrada 10.txt,kruskal,20,0.7056829929351807
Entrada 10.txt,kruskal,20,0.6986186504364014
Entrada 10.txt,kruskal,20,0.7052285671234131
Entrada 10.txt,kruskal,20,0.7125535011291504
Entrada 10.txt,kruskal,20,0.7653388977050781
Entrada 10.txt,kruskal,20,0.7001979351043701
Entrada 10.txt,kruskal,20,0.6931960582733154
Entrada 10.txt,kruskal,20,0.7013211250305176
Entrada 10.txt,kruskal,20,0.7060678005218506
Entrada 10.txt,kruskal,20,0.6983482837677002
Entrada 10.txt,kruskal,20,0.6945178508758545
Entrada 10.txt,kruskal,20,0.7225310802459717
Entrada 10.txt,kruskal,20,0.7042632102966309
Entrada 10.txt,kruskal,20,0.7092502117156982
Entrada 10.txt,kruskal,20,0.7003147602081299
Entrada 10.txt,kruskal,20,0.6970775127410889
Entrada 10.txt,kruskal,20,0.7057886123657227
Entrada 10.txt,kruskal,20,0.7084333896636963
Entrada 10.txt,kruskal,20,0.709458589553833
Entrada 10.txt,kruskal,20,0.7133908271789551
Entrada 10.txt,kruskal,20,0.700308084487915
Entrada 10.txt,kruskal,20,0.7254750728607178
Entrada 10.txt,kruskal,20,0.7237763404846191
Entrada 10.txt,kruskal,20,0.7005743980407715
Entrada 10.txt,kruskal,20,0.716968297958374
Entrada 10.txt,kruskal,20,0.6961021423339844
Entrada 10.txt,kruskal,20,0.7046129703521729
Entrada 10.txt,kruskal,20,0.6956353187561035
Entrada 10.txt,kruskal,20,0.7258684635162354
Entrada 10.txt,kruskal,20,0.7080099582672119
Entrada 10.txt,prim,20,0.7060613632202148
Entrada 10.txt,prim,20,0.7035007476806641
Entrada 10.txt,prim,20,0.7021360397338867
Entrada 10.txt,prim,20,0.7118754386901855
Entrada 10.txt,prim,20,0.7007153034210205
Entrada 10.txt,prim,20,0.7069950103759766
Entrada 10.txt,prim,20,0.7085230350494385
Entrada 10.txt,prim,20,0.7221956253051758
Entrada 10.txt,prim,20,0.7033889293670654
Entrada 10.txt,prim,20,0.7009963989257812
Entrada 10.txt,prim,20,0.708798885345459
Entrada 10.txt,prim,20,0.6984536647796631
Entrada 10.txt,prim,20,0.7143383026123047
Entrada 10.txt,prim,20,0.7097744941711426
Entrada 10.txt,prim,20,0.7099518775939941
Entrada 10.txt,prim,20,0.7104554176330566
Entrada 10.txt,prim,20,0.710761547088623
Entrada 10.txt,prim,20,0.701035737991333
Entrada 10.txt,prim,20,0.6973121166229248
Entrada 10.txt,prim,20,0.7031996250152588
Entrada 10.txt,prim,20,0.6931955814361572
Entrada 10.txt,prim,20,0.7005796432495117
Entrada 10.txt,prim,20,0.7080936431884766
Entrada 10.txt,prim,20,0.70302414894104
Entrada 10.txt,prim,20,0.7013638019561768
Entrada 10.txt,prim,20,0.7014243602752686
Entrada 10.txt,prim,20,0.7030792236328125
Entrada 10.txt,prim,20,0.7213969230651855
Entrada 10.txt,prim,20,0.7036900520324707
Entrada 10.txt,prim,20,0.6934292316436768
Entrada 200.txt,kruskal,474,0.7340261936187744
Entrada 200.txt,kruskal,474,0.7339656352996826
Entrada 200.txt,kruskal,474,0.7483360767364502
Entrada 200.txt,kruskal,474,0.7375977039337158
Entrada 200.txt,kruskal,474,0.730999231338501
Entrada 200.txt,kruskal,474,0.8647158145904541
Entrada 200.txt,kruskal,474,0.7489888668060303
Entrada 200.txt,kruskal,474,0.9778287410736084
Entrada 200.txt,kruskal,474,0.886406421661377
Entrada 200.txt,kruskal,474,0.8135881423950195
Entrada 200.txt,kruskal,474,0.7920379638671875
Entrada 200.txt,kruskal,474,0.7568392753601074
Entrada 200.txt,kruskal,474,0.7291007041931152
Entrada 200.txt,kruskal,474,0.7938826084136963
Entrada 200.txt,kruskal,474,0.8057525157928467
Entrada 200.txt,kruskal,474,0.9689750671386719
